Pignatta.et.al.MEGs	Pignatta.et.al.PEGs	Hornslien.et.al.MEGs	Hornslien.et.al.PEGs	Picard.et.al.MEGs	Picard.et.al.PEGs	Del_Toro.et.al.MEGs	Del_Toro.et.al.PEGs
						AT5G66070	
						AT2G46225	
						AT5G42030	
						AT1G67080	
						AT1G45249	
						AT1G62380	
						AT5G42480	
						AT2G36840	
						AT1G16880	
						AT2G16700	
						AT2G33385	
						AT5G16370	
						AT5G19220	
						AT2G45650	
						AT2G24270	
						AT5G42650	
						AT5G08370	
						AT2G28100	
						AT1G30000	
						AT1G77380	
						AT4G36920	
						AT4G21990	
						AT4G19180	
						AT4G09030	
						AT4G26320	
						AT5G11740	
						AT2G27880	
						AT3G44720	
						AT5G22630	
						AT5G42050	
						AT1G62800	
						AT3G18490	
						AT3G28270	
						AT4G25960	
						AT3G21250	
						AT1G51500	
						AT1G51460	
						AT3G55110	
						AT3G16340	
						AT2G37300	
						AT1G75310	
						AT1G34310	
						AT1G35520	
						AT1G35240	
						AT1G34390	
						AT3G07390	
						AT3G45260	
						AT1G61720	
						AT2G22850	
						AT5G52060	
						AT1G19700	
						AT4G34610	
						AT1G58180	
						AT3G13750	
						AT1G26560	
						AT1G60260	
						AT4G15210	
						AT2G32290	
						AT1G61810	
						AT5G49360	
						AT1G02640	
						AT1G75380	
						AT5G61900	
						AT1G10060	
						AT4G15400	
						AT4G39400	
						AT3G30180	
						AT5G63160	
						AT1G66400	
						AT5G42380	
						AT3G50770	
						AT1G17200	
						AT3G14380	
						AT4G16442	
						AT2G35760	
						AT2G37200	
						AT1G20620	
						AT5G25110	
						AT5G10860	
						AT3G26740	
						AT3G44260	
						AT1G21250	
						AT4G38190	
						AT4G24000	
						AT1G25330	
						AT5G05270	
						AT5G40890	
						AT4G17090	
						AT1G05490	
						AT2G30490	
						AT1G15950	
						AT1G20440	
						AT5G03190	
						AT3G02380	
						AT2G24790	
						AT5G48560	
						AT3G63120	
						AT1G69570	
						AT5G28020	
						AT5G40380	
						AT2G32720	
						AT2G40890	
						AT1G75450	
						AT4G02860	
						AT5G48485	
						AT3G16240	
						AT4G25640	
						AT1G48320	
						AT4G30340	
						AT5G42800	
						AT5G48490	
						AT3G12610	
						AT4G13830	
						AT2G33830	
						AT3G50660	
						AT5G27930	
						AT3G22840	
						AT4G12880	
						AT4G24510	
						AT4G33790	
						AT5G26742	
						AT2G01850	
						AT1G63650	
						AT3G05600	
						AT5G03280	
						AT3G60240	
						AT4G08950	
						AT1G69530	
						AT1G26770	
						AT2G28950	
						AT1G21310	
						AT4G08980	
						AT2G37678	
						AT4G12730	
						AT5G60490	
						AT5G50160	
						AT5G26030	
						AT2G35670	
						AT5G45680	
						AT5G46330	
						AT3G51240	
						AT1G62540	
						AT4G15200	
						AT1G14350	
						AT5G47820	
						AT1G13250	
						AT2G36830	
						AT4G12960	
						AT1G75750	
						AT5G25830	
						AT5G37500	
						AT3G14530	
						AT5G51810	
						AT4G26420	
						AT1G79840	
						AT2G02000	
						AT1G49860	
						AT1G02930	
						AT5G17220	
						AT3G43800	
						AT2G38110	
						AT2G26080	
						AT1G75680	
						AT3G43720	
						AT5G28300	
						AT4G28490	
						AT4G36990	
						AT3G19040	
						AT2G46680	
						AT4G32880	
						AT4G40060	
						AT1G54710	
						AT1G49560	
						AT4G32010	
						AT1G74520	
						AT1G17210	
						AT3G12360	
						AT3G50700	
						AT4G15550	
						AT3G23050	
						AT3G23030	
						AT3G04730	
						AT2G22670	
						AT1G23420	
						AT3G15050	
						AT1G14380	
						AT1G19870	
						AT4G18780	
						AT1G51900	
						AT4G00220	
						AT1G19640	
						AT5G16560	
						AT1G23390	
						AT3G27960	
						AT1G80440	
						AT3G59940	
						AT4G08150	
						AT1G62990	
						AT5G25220	
						AT4G04960	
						AT5G05390	
						AT4G22880	
						AT1G07090	
						AT2G34430	
						AT5G01240	
						AT5G59320	
						AT5G59310	
						AT3G51600	
						AT5G67420	
						AT3G02550	
						AT2G02450	
						AT2G47240	
						AT1G64400	
						AT2G02130	
						AT4G16310	
						AT1G78970	
						AT2G33580	
						AT3G18850	
						AT2G34880	
						AT3G48890	
						AT2G36880	
						AT3G17390	
						AT1G23060	
						AT2G17480	
						AT3G28917	
						AT2G32510	
						AT3G13530	
						AT2G01520	
						AT1G24020	
						AT2G11810	
						AT4G15760	
						AT1G28280	
						AT5G35490	
						AT5G12970	
						AT1G22610	
						AT3G01140	
						AT3G62610	
						AT5G15310	
						AT1G66230	
						AT5G40430	
						AT3G28910	
						AT4G34990	
						AT4G00540	
						AT4G38620	
						AT5G16600	
						AT1G18710	
						AT1G08810	
						AT1G79180	
						AT2G16720	
						AT3G50060	
						AT3G47600	
